Incident Date,Park Name,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Sex,Activity,age_range_clean,age_min,age_max,age_mid,parkCode,fullName_official,Intent_norm,Cause_norm,Month,Year,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName
2007-03-14,Lake Mead National Recreation Area,Motor Vehicle Crash,Female,Driving,0-14,0.0,14.0,7.0,LAKE,Lake Mead National Recreation Area,unintentional,motor vehicle crash,3,2007,18996.0,523754.0,LAKE,Lake Mead NRA
2007-03-19,Mount Rainier National Park,Drowning,Female,Hiking,45-54,45.0,54.0,49.5,MORA,Mount Rainier National Park,unintentional,drowning,3,2007,0.0,1306.0,MORA,Mount Rainier NP
2007-03-19,Mount Rainier National Park,Drowning,Male,Hiking,35-44,35.0,44.0,39.5,MORA,Mount Rainier National Park,unintentional,drowning,3,2007,0.0,1306.0,MORA,Mount Rainier NP
2007-03-23,Mount Rainier National Park,Drowning,Male,Other,35-44,35.0,44.0,39.5,MORA,Mount Rainier National Park,unintentional,drowning,3,2007,0.0,1306.0,MORA,Mount Rainier NP
2007-03-23,Mount Rainier National Park,Drowning,Female,Other,35-44,35.0,44.0,39.5,MORA,Mount Rainier National Park,unintentional,drowning,3,2007,0.0,1306.0,MORA,Mount Rainier NP
2007-03-27,Glen Canyon National Recreation Area,Drowning,Female,Vessel Related,35-44,35.0,44.0,39.5,GLCA,Glen Canyon National Recreation Area,unintentional,drowning,3,2007,1278.0,90944.0,GLCA,Glen Canyon NRA
2007-03-29,Glen Canyon National Recreation Area,Motor Vehicle Crash,Male,Driving,15-24,15.0,24.0,19.5,GLCA,Glen Canyon National Recreation Area,unintentional,motor vehicle crash,3,2007,1278.0,90944.0,GLCA,Glen Canyon NRA
2007-03-31,Grand Canyon National Park,Drowning,Male,Vessel Related,55-64,55.0,64.0,59.5,GRCA,Grand Canyon National Park,unintentional,drowning,3,2007,8685.0,332226.0,GRCA,Grand Canyon NP
2007-04-02,Grand Canyon National Park,Fall,Male,Not Reported,Unknown,,,,GRCA,Grand Canyon National Park,unintentional,fall,4,2007,10367.0,431874.0,GRCA,Grand Canyon NP
2007-04-05,Olympic National Park,Drowning,Male,Vessel Related,15-24,15.0,24.0,19.5,OLYM,Olympic National Park,unintentional,drowning,4,2007,72037.0,125060.0,OLYM,Olympic NP
2007-04-06,Glen Canyon National Recreation Area,Motor Vehicle Crash,Male,Driving,35-44,35.0,44.0,39.5,GLCA,Glen Canyon National Recreation Area,unintentional,motor vehicle crash,4,2007,2030.0,157208.0,GLCA,Glen Canyon NRA
2007-04-08,North Cascades National Park,Fall,Male,Not Reported,25-34,25.0,34.0,29.5,NOCA,North Cascades National Park,unintentional,fall,4,2007,0.0,173.0,NOCA,North Cascades NP
2007-04-10,Redwood National And State Parks,Drowning,Male,Fishing,Unknown,,,,REDW,,unintentional,drowning,4,2007,0.0,26783.0,REDW,Redwood NP
2007-04-14,Death Valley National Park,Motor Vehicle Crash,Male,Driving,45-54,45.0,54.0,49.5,DEVA,Death Valley National Park,unintentional,motor vehicle crash,4,2007,2148.0,62265.0,DEVA,Death Valley NP
2007-04-15,Great Smoky Mountains National Park,Motor Vehicle Crash,Male,Driving,45-54,45.0,54.0,49.5,GRSM,Great Smoky Mountains National Park,unintentional,motor vehicle crash,4,2007,987191.0,701353.0,GRSM,Great Smoky Mountains NP
2007-04-19,Yosemite National Park,Fall,Female,Climbing,35-44,35.0,44.0,39.5,YOSE,Yosemite National Park,unintentional,fall,4,2007,8857.0,219854.0,YOSE,Yosemite NP
2007-04-23,Denali National Park & Preserve,Fall,Female,Climbing,35-44,35.0,44.0,39.5,DENA,Denali National Park & Preserve,unintentional,fall,4,2007,41552.0,2665.0,DENA,Denali NP & PRES
2007-04-23,Blue Ridge Parkway,Motor Vehicle Crash,Male,Driving,55-64,55.0,64.0,59.5,BLRI,Blue Ridge Parkway,unintentional,motor vehicle crash,4,2007,161855.0,1015570.0,BLRI,Blue Ridge PKWY
2007-04-23,Blue Ridge Parkway,Motor Vehicle Crash,Male,Driving,55-64,55.0,64.0,59.5,BLRI,Blue Ridge Parkway,unintentional,motor vehicle crash,4,2007,161855.0,1015570.0,BLRI,Blue Ridge PKWY
2007-04-30,Grand Teton National Park,Fall,Male,Climbing,25-34,25.0,34.0,29.5,GRTE,Grand Teton National Park,unintentional,fall,4,2007,92984.0,49303.0,GRTE,Grand Teton NP
2007-04-30,Grand Teton National Park,Fall,Male,Climbing,35-44,35.0,44.0,39.5,GRTE,Grand Teton National Park,unintentional,fall,4,2007,92984.0,49303.0,GRTE,Grand Teton NP
2007-05-03,Lake Mead National Recreation Area,Motor Vehicle Crash,Not Reported,Driving,Unknown,,,,LAKE,Lake Mead National Recreation Area,unintentional,motor vehicle crash,5,2007,23518.0,648435.0,LAKE,Lake Mead NRA
2007-05-03,Lake Mead National Recreation Area,Motor Vehicle Crash,Not Reported,Driving,Unknown,,,,LAKE,Lake Mead National Recreation Area,unintentional,motor vehicle crash,5,2007,23518.0,648435.0,LAKE,Lake Mead NRA
2007-05-14,Big Thicket National Preserve,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,BITH,Big Thicket National Preserve,unintentional,drowning,5,2007,0.0,7528.0,BITH,Big Thicket NPRES
2007-05-15,Golden Gate National Recreation Area,Fall,Male,Not Reported,25-34,25.0,34.0,29.5,GOGA,Golden Gate National Recreation Area,unintentional,fall,5,2007,0.0,1256367.0,GOGA,Golden Gate NRA
2007-05-16,Denali National Park & Preserve,Fall,Male,Climbing,25-34,25.0,34.0,29.5,DENA,Denali National Park & Preserve,unintentional,fall,5,2007,122507.0,37143.0,DENA,Denali NP & PRES
2007-05-16,Denali National Park & Preserve,Fall,Male,Climbing,25-34,25.0,34.0,29.5,DENA,Denali National Park & Preserve,unintentional,fall,5,2007,122507.0,37143.0,DENA,Denali NP & PRES
2007-05-16,Golden Gate National Recreation Area,Fall,Male,Not Reported,35-44,35.0,44.0,39.5,GOGA,Golden Gate National Recreation Area,unintentional,fall,5,2007,0.0,1256367.0,GOGA,Golden Gate NRA
2007-05-17,Denali National Park & Preserve,Fall,Male,Climbing,25-34,25.0,34.0,29.5,DENA,Denali National Park & Preserve,unintentional,fall,5,2007,122507.0,37143.0,DENA,Denali NP & PRES
2007-05-17,Denali National Park & Preserve,Fall,Female,Climbing,35-44,35.0,44.0,39.5,DENA,Denali National Park & Preserve,unintentional,fall,5,2007,122507.0,37143.0,DENA,Denali NP & PRES
2007-05-17,Grand Canyon National Park,Undetermined,Female,Not Reported,55-64,55.0,64.0,59.5,GRCA,Grand Canyon National Park,undetermined,undetermined,5,2007,8442.0,443773.0,GRCA,Grand Canyon NP
2007-05-19,Yosemite National Park,Drowning,Male,Not Reported,25-34,25.0,34.0,29.5,YOSE,Yosemite National Park,unintentional,drowning,5,2007,14037.0,374184.0,YOSE,Yosemite NP
2007-05-21,Cape Hatteras National Seashore,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,CAHA,Cape Hatteras National Seashore,unintentional,drowning,5,2007,16166.0,228045.0,CAHA,Cape Hatteras NS
2007-05-27,Gulf Islands National Seashore,Other Transportation,Female,Vessel Related,35-44,35.0,44.0,39.5,GUIS,Gulf Islands National Seashore,unintentional,vessel incident,5,2007,7421.0,210616.0,GUIS,Gulf Islands NS
2007-05-28,Olympic National Park,Drowning,Male,Vessel Related,45-54,45.0,54.0,49.5,OLYM,Olympic National Park,unintentional,drowning,5,2007,69114.0,308662.0,OLYM,Olympic NP
2007-05-29,Haleakala National Park,Other Transportation,Male,Bicycling,0-14,0.0,14.0,7.0,HALE,,unintentional,bicycle only crash,5,2007,2424.0,118534.0,HALE,Haleakala NP
2007-06-01,Acadia National Park,Drowning,Female,Not Reported,55-64,55.0,64.0,59.5,ACAD,Acadia National Park,unintentional,drowning,6,2007,7500.0,273765.0,ACAD,Acadia NP
2007-06-02,Curecanti National Recreation Area,Fall,Male,Not Reported,45-54,45.0,54.0,49.5,CURE,Curecanti National Recreation Area,unintentional,fall,6,2007,0.0,144046.0,CURE,Curecanti NRA
2007-06-03,Lake Mead National Recreation Area,Drowning,Male,Vessel Related,35-44,35.0,44.0,39.5,LAKE,Lake Mead National Recreation Area,unintentional,drowning,6,2007,33533.0,924552.0,LAKE,Lake Mead NRA
2007-06-03,Chickasaw National Recreation Area,Drowning,Male,Swimming,25-34,25.0,34.0,29.5,CHIC,Chickasaw National Recreation Area,unintentional,drowning,6,2007,136387.0,190491.0,CHIC,Chickasaw NRA
2007-06-04,Great Smoky Mountains National Park,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,GRSM,Great Smoky Mountains National Park,unintentional,drowning,6,2007,1212555.0,1116371.0,GRSM,Great Smoky Mountains NP
2007-06-04,Zion National Park,Fall,Male,Canyoneering,45-54,45.0,54.0,49.5,ZION,Zion National Park,unintentional,fall,6,2007,1800.0,333005.0,ZION,Zion NP
2007-06-08,Zion National Park,Fall,Male,Not Reported,45-54,45.0,54.0,49.5,ZION,Zion National Park,unintentional,fall,6,2007,1800.0,333005.0,ZION,Zion NP
2007-06-09,Golden Gate National Recreation Area,Poisoning,Male,Not Reported,45-54,45.0,54.0,49.5,GOGA,Golden Gate National Recreation Area,unintentional,poisoning - drugs,6,2007,0.0,1285282.0,GOGA,Golden Gate NRA
2007-06-09,Cape Cod National Seashore,Undetermined,Male,Playing Sports,55-64,55.0,64.0,59.5,CACO,Cape Cod National Seashore,undetermined,undetermined,6,2007,2454.0,484706.0,CACO,Cape Cod NS
2007-06-10,Lake Meredith National Recreation Area,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,LAMR,Lake Meredith National Recreation Area,unintentional,drowning,6,2007,0.0,142455.0,LAMR,Lake Meredith NRA
2007-06-10,Sequoia & Kings Canyon National Parks,Fall,Male,Climbing,15-24,15.0,24.0,19.5,SEKI,Sequoia & Kings Canyon National Parks,unintentional,fall,6,2007,,,,
2007-06-14,Lake Mead National Recreation Area,Fall,Male,Vessel Related,25-34,25.0,34.0,29.5,LAKE,Lake Mead National Recreation Area,unintentional,fall,6,2007,33533.0,924552.0,LAKE,Lake Mead NRA
2007-06-16,Point Reyes National Seashore,Drowning,Male,Swimming,25-34,25.0,34.0,29.5,PORE,Point Reyes National Seashore,unintentional,drowning,6,2007,2149.0,174160.0,PORE,Point Reyes NS
2007-06-16,Yosemite National Park,Fall,Male,Climbing,35-44,35.0,44.0,39.5,YOSE,Yosemite National Park,unintentional,fall,6,2007,17454.0,466054.0,YOSE,Yosemite NP
2007-06-16,Mount Rainier National Park,Fall,Male,Hiking,45-54,45.0,54.0,49.5,MORA,Mount Rainier National Park,unintentional,fall,6,2007,96446.0,173843.0,MORA,Mount Rainier NP
2007-06-16,Grand Teton National Park,Motor Vehicle Crash,Male,Driving,55-64,55.0,64.0,59.5,GRTE,Grand Teton National Park,unintentional,motor vehicle crash,6,2007,144401.0,454382.0,GRTE,Grand Teton NP
2007-06-16,Golden Gate National Recreation Area,Poisoning,Male,Not Reported,Unknown,,,,GOGA,Golden Gate National Recreation Area,unintentional,poisoning - drugs,6,2007,0.0,1285282.0,GOGA,Golden Gate NRA
2007-06-17,Blue Ridge Parkway,Motor Vehicle Crash,Not Reported,Driving,Unknown,,,,BLRI,Blue Ridge Parkway,unintentional,motor vehicle crash,6,2007,161855.0,1924517.0,BLRI,Blue Ridge PKWY
2007-06-18,Mount Rainier National Park,Fall,Male,Climbing,45-54,45.0,54.0,49.5,MORA,Mount Rainier National Park,unintentional,fall,6,2007,96446.0,173843.0,MORA,Mount Rainier NP
2007-06-22,Whiskeytown National Recreation Area,Drowning,Female,Vessel Related,0-14,0.0,14.0,7.0,WHIS,Whiskeytown National Recreation Area,unintentional,drowning,6,2007,547.0,121890.0,WHIS,Whiskeytown NRA
2007-06-22,Apostle Islands National Lakeshore,Drowning,Male,Vessel Related,55-64,55.0,64.0,59.5,APIS,Apostle Islands National Lakeshore,unintentional,drowning,6,2007,102.0,21270.0,APIS,Apostle Islands NL
2007-07-01,Cape Hatteras National Seashore,Drowning,Male,Swimming,45-54,45.0,54.0,49.5,CAHA,Cape Hatteras National Seashore,unintentional,drowning,7,2007,22320.0,387676.0,CAHA,Cape Hatteras NS
2007-07-04,Cape Hatteras National Seashore,Drowning,Male,Swimming,35-44,35.0,44.0,39.5,CAHA,Cape Hatteras National Seashore,unintentional,drowning,7,2007,22320.0,387676.0,CAHA,Cape Hatteras NS
2007-07-05,Delaware Water Gap National Recreation Area,Fall,Female,Not Reported,35-44,35.0,44.0,39.5,DEWA,Delaware Water Gap National Recreation Area,unintentional,fall,7,2007,16340.0,486549.0,DEWA,Delaware Water Gap NRA
2007-07-05,Lake Mead National Recreation Area,Motor Vehicle Crash,Female,Driving,Unknown,,,,LAKE,Lake Mead National Recreation Area,unintentional,motor vehicle crash,7,2007,38546.0,1062772.0,LAKE,Lake Mead NRA
2007-07-06,Buffalo National River,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,BUFF,Buffalo National River,unintentional,drowning,7,2007,0.0,180708.0,BUFF,Buffalo NR
2007-07-07,Lake Mead National Recreation Area,Drowning,Male,Swimming,25-34,25.0,34.0,29.5,LAKE,Lake Mead National Recreation Area,unintentional,drowning,7,2007,38546.0,1062772.0,LAKE,Lake Mead NRA
2007-07-07,Glen Canyon National Recreation Area,Poisoning,Female,Swimming,0-14,0.0,14.0,7.0,GLCA,Glen Canyon National Recreation Area,unintentional,poisoning - carbon monoxide,7,2007,1818.0,346641.0,GLCA,Glen Canyon NRA
2007-07-10,Channel Islands National Park,Drowning,Male,Not Reported,45-54,45.0,54.0,49.5,CHIS,Channel Islands National Park,unintentional,drowning,7,2007,1335.0,43741.0,CHIS,Channel Islands NP
2007-07-11,Yosemite National Park,Undetermined,Male,Not Reported,45-54,45.0,54.0,49.5,YOSE,Yosemite National Park,undetermined,undetermined,7,2007,20304.0,543235.0,YOSE,Yosemite NP
2007-07-13,National Capital Parks-East,Motor Vehicle Crash,Not Reported,Driving,Unknown,,,,NACE,National Capital Parks-East,unintentional,motor vehicle crash,7,2007,,,,
2007-07-19,Colonial National Historical Park,Drowning,Female,Swimming,0-14,0.0,14.0,7.0,COLO,Colonial National Historical Park,unintentional,drowning,7,2007,204248.0,391303.0,COLO,Colonial NHP
2007-07-26,Cape Hatteras National Seashore,Drowning,Male,Swimming,25-34,25.0,34.0,29.5,CAHA,Cape Hatteras National Seashore,unintentional,drowning,7,2007,22320.0,387676.0,CAHA,Cape Hatteras NS
2007-07-28,North Cascades National Park,Fall,Female,Not Reported,55-64,55.0,64.0,59.5,NOCA,North Cascades National Park,unintentional,fall,7,2007,0.0,5737.0,NOCA,North Cascades NP
2007-08-02,Grand Canyon National Park,Fall,Male,Not Reported,25-34,25.0,34.0,29.5,GRCA,Grand Canyon National Park,unintentional,fall,8,2007,15275.0,580670.0,GRCA,Grand Canyon NP
2007-08-04,Badlands National Park,Motor Vehicle Crash,Male,Driving,Unknown,,,,BADL,Badlands National Park,unintentional,motor vehicle crash,8,2007,1572.0,201031.0,BADL,Badlands NP
2007-08-05,Delaware Water Gap National Recreation Area,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,DEWA,Delaware Water Gap National Recreation Area,unintentional,drowning,8,2007,15450.0,651809.0,DEWA,Delaware Water Gap NRA
2007-08-06,Cape Hatteras National Seashore,Drowning,Male,Swimming,45-54,45.0,54.0,49.5,CAHA,Cape Hatteras National Seashore,unintentional,drowning,8,2007,16795.0,293685.0,CAHA,Cape Hatteras NS
2007-08-07,Wind Cave National Park,Motor Vehicle Crash,Not Reported,Driving,Unknown,,,,WICA,Wind Cave National Park,unintentional,motor vehicle crash,8,2007,26792.0,120220.0,WICA,Wind Cave NP
2007-08-11,Gauley River National Recreation Area,Drowning,Male,Vessel Related,Unknown,,,,GARI,Gauley River National Recreation Area,unintentional,drowning,8,2007,0.0,10528.0,GARI,Gauley River NRA
2007-08-12,Upper Delaware Scenic & Recreational River,Drowning,Male,Vessel Related,55-64,55.0,64.0,59.5,UPDE,Upper Delaware Scenic & Recreational River,unintentional,drowning,8,2007,400.0,51979.0,UPDE,Upper Delaware S&RR
2007-08-14,Yosemite National Park,Environmental,Female,Not Reported,65+,65.0,,,YOSE,Yosemite National Park,unintentional,hypothermia,8,2007,20394.0,550172.0,YOSE,Yosemite NP
2007-08-16,Haleakala National Park,Motor Vehicle Crash,Male,Driving,45-54,45.0,54.0,49.5,HALE,,unintentional,motor vehicle crash,8,2007,2424.0,148140.0,HALE,Haleakala NP
2007-08-16,Haleakala National Park,Motor Vehicle Crash,Female,Driving,55-64,55.0,64.0,59.5,HALE,,unintentional,motor vehicle crash,8,2007,2424.0,148140.0,HALE,Haleakala NP
2007-08-16,Haleakala National Park,Motor Vehicle Crash,Not Reported,Driving,65+,65.0,,,HALE,,unintentional,motor vehicle crash,8,2007,2424.0,148140.0,HALE,Haleakala NP
2007-08-17,Lake Roosevelt National Recreation Area,Drowning,Male,Vessel Related,65+,65.0,,,LARO,Lake Roosevelt National Recreation Area,unintentional,drowning,8,2007,100.0,357742.0,LARO,Lake Roosevelt NRA
2007-08-19,Upper Delaware Scenic & Recreational River,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,UPDE,Upper Delaware Scenic & Recreational River,unintentional,drowning,8,2007,400.0,51979.0,UPDE,Upper Delaware S&RR
2007-08-19,Grand Canyon National Park,Fall,Female,Not Reported,Unknown,,,,GRCA,Grand Canyon National Park,unintentional,fall,8,2007,15275.0,580670.0,GRCA,Grand Canyon NP
2007-08-19,Glen Canyon National Recreation Area,Other,Male,Hunting,Unknown,,,,GLCA,Glen Canyon National Recreation Area,unintentional,firearm,8,2007,1627.0,265960.0,GLCA,Glen Canyon NRA
2007-08-21,Sequoia & Kings Canyon National Parks,Fall,Male,Not Reported,35-44,35.0,44.0,39.5,SEKI,Sequoia & Kings Canyon National Parks,unintentional,fall,8,2007,,,,
2007-08-23,Cape Hatteras National Seashore,Drowning,Male,Vessel Related,45-54,45.0,54.0,49.5,CAHA,Cape Hatteras National Seashore,unintentional,drowning,8,2007,16795.0,293685.0,CAHA,Cape Hatteras NS
2007-08-24,Glen Canyon National Recreation Area,Undetermined,Male,Vessel Related,15-24,15.0,24.0,19.5,GLCA,Glen Canyon National Recreation Area,undetermined,undetermined,8,2007,1627.0,265960.0,GLCA,Glen Canyon NRA
2007-08-25,Point Reyes National Seashore,Drowning,Male,Vessel Related,Unknown,,,,PORE,Point Reyes National Seashore,unintentional,drowning,8,2007,2149.0,207737.0,PORE,Point Reyes NS
2007-08-25,Glen Canyon National Recreation Area,Drowning,Not Reported,Vessel Related,Unknown,,,,GLCA,Glen Canyon National Recreation Area,unintentional,drowning,8,2007,1627.0,265960.0,GLCA,Glen Canyon NRA
2007-09-01,Blue Ridge Parkway,Motor Vehicle Crash,Male,Driving,45-54,45.0,54.0,49.5,BLRI,Blue Ridge Parkway,unintentional,motor vehicle crash,9,2007,161855.0,1890132.0,BLRI,Blue Ridge PKWY
2007-09-04,Lake Roosevelt National Recreation Area,Drowning,Male,Vessel Related,55-64,55.0,64.0,59.5,LARO,Lake Roosevelt National Recreation Area,unintentional,drowning,9,2007,100.0,149654.0,LARO,Lake Roosevelt NRA
2007-09-07,Yellowstone National Park,Drowning,Male,Vessel Related,65+,65.0,,,YELL,Yellowstone National Park,unintentional,drowning,9,2007,107258.0,463994.0,YELL,Yellowstone NP
2007-09-07,Yellowstone National Park,Drowning,Male,Vessel Related,65+,65.0,,,YELL,Yellowstone National Park,unintentional,drowning,9,2007,107258.0,463994.0,YELL,Yellowstone NP
2007-09-08,Natchez Trace Parkway,Motor Vehicle Crash,Male,Bicycling,65+,65.0,,,NATR,Natchez Trace Parkway,unintentional,motor vehicle crash,9,2007,627843.0,503868.0,NATR,Natchez Trace PKWY
2007-09-12,Glen Echo Park,Drowning,Male,Swimming,55-64,55.0,64.0,59.5,GLEC,Glen Echo Park,unintentional,drowning,9,2007,,,,
2007-09-19,Lake Mead National Recreation Area,Drowning,Male,Vessel Related,35-44,35.0,44.0,39.5,LAKE,Lake Mead National Recreation Area,unintentional,drowning,9,2007,23089.0,636593.0,LAKE,Lake Mead NRA
2007-09-19,Natchez Trace Parkway,Motor Vehicle Crash,Female,Driving,15-24,15.0,24.0,19.5,NATR,Natchez Trace Parkway,unintentional,motor vehicle crash,9,2007,627843.0,503868.0,NATR,Natchez Trace PKWY
2007-09-23,Biscayne National Park,Undetermined,Male,Diving - Scuba,Unknown,,,,BISC,Biscayne National Park,undetermined,undetermined,9,2007,0.0,41955.0,BISC,Biscayne NP
2007-09-26,Haleakala National Park,Other Transportation,Female,Bicycling,65+,65.0,,,HALE,,unintentional,bicycle only crash,9,2007,2424.0,104875.0,HALE,Haleakala NP
2007-09-28,Glen Canyon National Recreation Area,Drowning,Female,Vessel Related,55-64,55.0,64.0,59.5,GLCA,Glen Canyon National Recreation Area,unintentional,drowning,9,2007,2364.0,190681.0,GLCA,Glen Canyon NRA
2007-09-28,Yellowstone National Park,Fall,Female,Not Reported,25-34,25.0,34.0,29.5,YELL,Yellowstone National Park,unintentional,fall,9,2007,107258.0,463994.0,YELL,Yellowstone NP
2007-09-29,Lake Mead National Recreation Area,Drowning,Male,Vessel Related,Unknown,,,,LAKE,Lake Mead National Recreation Area,unintentional,drowning,9,2007,23089.0,636593.0,LAKE,Lake Mead NRA
2007-09-29,New River Gorge National River,Drowning,Male,Swimming,Unknown,,,,NERI,,unintentional,drowning,9,2007,200.0,96371.0,NERI,New River Gorge NP & PRES
2007-09-29,New River Gorge National River,Fall,Male,Not Reported,15-24,15.0,24.0,19.5,NERI,,unintentional,fall,9,2007,200.0,96371.0,NERI,New River Gorge NP & PRES
2007-09-30,Katmai National Park & Preserve,Other Transportation,Not Reported,Flying,Unknown,,,,KATM,Katmai National Park & Preserve,unintentional,aircraft incident,9,2007,0.0,0.0,KATM,Katmai NP & PRES
2007-09-30,Katmai National Park & Preserve,Other Transportation,Not Reported,Flying,Unknown,,,,KATM,Katmai National Park & Preserve,unintentional,aircraft incident,9,2007,0.0,0.0,KATM,Katmai NP & PRES
2007-09-30,Katmai National Park & Preserve,Other Transportation,Not Reported,Flying,Unknown,,,,KATM,Katmai National Park & Preserve,unintentional,aircraft incident,9,2007,0.0,0.0,KATM,Katmai NP & PRES
2007-09-30,Katmai National Park & Preserve,Other Transportation,Not Reported,Flying,Unknown,,,,KATM,Katmai National Park & Preserve,unintentional,aircraft incident,9,2007,0.0,0.0,KATM,Katmai NP & PRES
2007-10-05,Gauley River National Recreation Area,Drowning,Male,Vessel Related,15-24,15.0,24.0,19.5,GARI,Gauley River National Recreation Area,unintentional,drowning,10,2007,0.0,21488.0,GARI,Gauley River NRA
2007-10-05,Delaware Water Gap National Recreation Area,Drowning,Male,Swimming,15-24,15.0,24.0,19.5,DEWA,Delaware Water Gap National Recreation Area,unintentional,drowning,10,2007,13816.0,468591.0,DEWA,Delaware Water Gap NRA
2007-10-06,Haleakala National Park,Fall,Male,Not Reported,25-34,25.0,34.0,29.5,HALE,,unintentional,fall,10,2007,2424.0,114805.0,HALE,Haleakala NP
2007-10-08,Glen Canyon National Recreation Area,Drowning,Female,Not Reported,0-14,0.0,14.0,7.0,GLCA,Glen Canyon National Recreation Area,unintentional,drowning,10,2007,1850.0,132966.0,GLCA,Glen Canyon NRA
2007-10-09,Grand Canyon National Park,Fall,Female,Not Reported,0-14,0.0,14.0,7.0,GRCA,Grand Canyon National Park,unintentional,fall,10,2007,9158.0,362602.0,GRCA,Grand Canyon NP
2007-10-14,Gila Cliff Dwellings National Monument,Undetermined,Male,Not Reported,25-34,25.0,34.0,29.5,GICL,Gila Cliff Dwellings National Monument,undetermined,undetermined,10,2007,0.0,3215.0,GICL,Gila Cliff Dwellings NM
2007-10-19,Natchez Trace Parkway,Motor Vehicle Crash,Male,Driving,65+,65.0,,,NATR,Natchez Trace Parkway,unintentional,motor vehicle crash,10,2007,540988.0,512747.0,NATR,Natchez Trace PKWY
2007-10-22,Natchez Trace Parkway,Motor Vehicle Crash,Male,Driving,15-24,15.0,24.0,19.5,NATR,Natchez Trace Parkway,unintentional,motor vehicle crash,10,2007,540988.0,512747.0,NATR,Natchez Trace PKWY
2007-11-06,Cape Lookout National Seashore,Drowning,Male,Vessel Related,65+,65.0,,,CALO,Cape Lookout National Seashore,unintentional,drowning,11,2007,400.0,62415.0,CALO,Cape Lookout NS
2007-11-11,Yosemite National Park,Environmental,Male,Not Reported,35-44,35.0,44.0,39.5,YOSE,Yosemite National Park,unintentional,hypothermia,11,2007,6878.0,178846.0,YOSE,Yosemite NP
