UnitName,UnitCode
Clara Barton NHS,CLBA
Colonial NHP,COLO
Colorado NM,COLM
Congaree NP,CONG
Coronado NMEM,CORO
Cowpens NB,COWP
Crater Lake NP,CRLA
Craters of the Moon NM & PRES,CRMO
Cumberland Gap NHP,CUGA
Cumberland Island NS,CUIS
Curecanti NRA,CURE
Cuyahoga Valley NP,CUVA
Dayton Aviation Heritage NHP,DAAV
De Soto NMEM,DESO
Death Valley NP,DEVA
Delaware Water Gap NRA,DEWA
Denali NP & PRES,DENA
Devils Postpile NM,DEPO
Devils Tower NM,DETO
Dinosaur NM,DINO
Dry Tortugas NP,DRTO
Dwight D. Eisenhower MEM,DDEM
Ebey's Landing,EBLA
Edgar Allan Poe NHS,EDAL
Effigy Mounds NM,EFMO
Eisenhower NHS,EISE
El Malpais NM,ELMA
El Morro NM,ELMO
Eleanor Roosevelt NHS,ELRO
Emmett Till and Mamie Till-Mobley NM,TILL
Eugene O'Neill NHS,EUON
Everglades NP,EVER
Federal Hall NMEM,FEHA
Fire Island NS,FIIS
First Ladies NHS,FILA
First State NHP,FRST
Flight 93 NMEM,FLNI
Florissant Fossil Beds NM,FLFO
Ford's Theatre NHS,FOTH
Fort Bowie NHS,FOBO
Fort Caroline NMEM,FOCA
Fort Davis NHS,FODA
Fort Donelson NB,FODO
Fort Frederica NM,FOFR
Fort Laramie NHS,FOLA
Fort Larned NHS,FOLS
Fort Matanzas NM,FOMA
Fort McHenry NM & HS,FOMC
Fort Monroe NM,FOMR
Fort Necessity NB,FONE
Fort Point NHS,FOPO
Fort Pulaski NM,FOPU
Fort Raleigh NHS,FORA
Fort Scott NHS,FOSC
Fort Smith NHS,FOSM
Fort Stanwix NM,FOST
Fort Sumter and Fort Moultrie NHP,FOSU
Fort Union NM,FOUN
Fort Union Trading Post NHS,FOUS
Fort Vancouver NHS,FOVA
Fort Washington Park,FOWA
Fossil Butte NM,FOBU
Franklin Delano Roosevelt MEM,FRDE
Frederick Douglass NHS,FRDO
Frederick Law Olmsted NHS,FRLA
Fredericksburg & Spotsylvania NMP,FRSP
Freedom Riders NM,FRRI
Friendship Hill NHS,FRHI
Gates of the Arctic NP & PRES,GAAR
Gateway Arch NP,JEFF
Gateway NRA,GATE
Gauley River NRA,GARI
General Grant NMEM,GEGR
George Rogers Clark NHP,GERO
George Washington Birthplace NM,GEWA
George Washington Carver NM,GWCA
George Washington MEM PKWY,GWMP
Gettysburg NMP,GETT
Gila Cliff Dwellings NM,GICL
Glacier Bay NP & PRES,GLBA
Glacier NP,GLAC
Glen Canyon NRA,GLCA
Golden Gate NRA,GOGA
Golden Spike NHP,GOSP
Governors Island NM,GOIS
Grand Canyon NP,GRCA
Grand Portage NM,GRPO
Grand Teton NP,GRTE
Grant-Kohrs Ranch NHS,GRKO
Great Basin NP,GRBA
Great Sand Dunes NP & PRES,GRSA
Great Smoky Mountains NP,GRSM
Greenbelt Park,GREE
Guadalupe Mountains NP,GUMO
Guilford Courthouse NMP,GUCO
Gulf Islands NS,GUIS
Hagerman Fossil Beds NM,HAFO
Haleakala NP,HALE
Hamilton Grange NMEM,HAGR
Hampton NHS,HAMP
Harpers Ferry NHP,HAFE
Harriet Tubman NHP,HART
Harriet Tubman Underground Railroad NHP,HATU
Harry S Truman NHS,HSTR
Hawaii Volcanoes NP,HAVO
Herbert Hoover NHS,HEHO
Home of Franklin D. Roosevelt NHS,HOFR
Homestead NHP,HOME
Honouliuli NHS,HONO
Hopewell Culture NHP,HOCU
Hopewell Furnace NHS,HOFU
Horseshoe Bend NMP,HOBE
Hot Springs NP,HOSP
Hovenweep NM,HOVE
Hubbell Trading Post NHS,HUTR
Ice Age NST,IATR
Independence NHP,INDE
Indiana Dunes NP,INDU
Isle Royale NP,ISRO
James A. Garfield NHS,JAGA
Jean Lafitte NHP & PRES,JELA
Jewel Cave NM,JECA
Jimmy Carter NHP,JICA
"John D. Rockefeller, Jr. MEM PKWY",JODR
John Day Fossil Beds NM,JODA
John F. Kennedy Center For Pa,JOFK
John F. Kennedy NHS,JOFI
John Muir NHS,JOMU
Johnstown Flood NMEM,JOFL
Joshua Tree NP,JOTR
Kalaupapa NHP,KALA
Kaloko Honokohau NHP,KAHO
Katahdin Woods and Waters NM,KAWW
Katmai NP & PRES,KATM
Kenai Fjords NP,KEFJ
Kennesaw Mountain NBP,KEMO
Keweenaw NHP,KEWE
Kings Canyon NP,KICA
Kings Mountain NMP,KIMO
Klondike Gold Rush NHP Alaska,KLGO
Klondike Gold Rush NHP Seattle,KLSE
Knife River Indian Villages NHS,KNRI
Kobuk Valley NP,KOVA
Korean War Veterans MEM,KOWA
Lake Chelan NRA,LACH
Lake Clark NP & PRES,LACL
Lake Mead NRA,LAKE
Lake Meredith NRA,LAMR
Lake Roosevelt NRA,LARO
Lassen Volcanic NP,LAVO
Lava Beds NM,LABE
LBJ Memorial Grove on the Potomac,LYBA
Lewis & Clark NHP,LEWI
Lincoln Boyhood NMEM,LIBO
Lincoln Home NHS,LIHO
Lincoln MEM,LINC
Little Bighorn Battlefield NM,LIBI
Little River Canyon NPRES,LIRI
Little Rock Central High School NHS,CHSC
Longfellow House Washington's HQ NHS,LONG
Lowell NHP,LOWE
Lyndon B. Johnson NHP,LYJO
Maggie L. Walker NHS,MAWA
Mammoth Cave NP,MACA
Manassas NBP,MANA
Manhattan Project NHP,MAPR
Manzanar NHS,MANZ
Marsh-Billings-Rockefeller NHP,MABI
"Martin Luther King, Jr. MEM",MLKM
"Martin Luther King, Jr. NHP",MALU
Martin Van Buren NHS,MAVA
Mary McLeod Bethune Council House NHS,MAMC
Medgar and Myrlie Evers Home NM,MEMY
Mesa Verde NP,MEVE
Mill Springs Battlefield NM,MISP
Minidoka NHS,MIIN
Minute Man NHP,MIMA
Minuteman Missile NHS,MIMI
Mississippi NRRA,MISS
Missouri NRR,MNRR
Mojave NPRES,MOJA
Monocacy NB,MONO
Montezuma Castle NM,MOCA
Moores Creek NB,MOCR
Morristown NHP,MORR
Mount Rainier NP,MORA
Mount Rushmore NMEM,MORU
Muir Woods NM,MUWO
Natchez NHP,NATC
Natchez Trace PKWY,NATR
National Capital Parks Central,NCPC
National Capital Parks Combined,NACA
National Capital Parks East,NCPE
National Park of American Samoa,NPSA
National Visitor Center,NAVC
Natural Bridges NM,NABR
Navajo NM,NAVA
New Bedford Whaling NHP,NEBE
New Orleans Jazz NHP,JAZZ
New Philadelphia NHS,NEPH
New River Gorge NP & PRES,NERI
Nez Perce NHP,NEPE
Nicodemus NHS,NICO
Ninety Six NHS,NISI
Niobrara NSR,NIOB
Noatak NPRES,NOAT
North Cascades NP,NOCA
Obed W&SR,OBRI
Ocmulgee Mounds NHP,OCMU
Oklahoma City NMEM,OKCI
Olympic NP,OLYM
Oregon Caves NM & PRES,ORCA
Organ Pipe Cactus NM,ORPI
Ozark NSR,OZAR
Padre Island NS,PAIS
Palo Alto Battlefield NHP,PAAL
Paterson Great Falls NHP,PAGR
Pea Ridge NMP,PERI
Pearl Harbor NMEM,PERL
Pecos NHP,PECO
Pennsylvania Avenue NHS,PAAV
Perry's Victory & Intl. Peace MEM,PEVI
Petersburg NB,PETE
Petrified Forest NP,PEFO
Petroglyph NM,PETR
Pictured Rocks NL,PIRO
Pinnacles NP,PINN
Pipe Spring NM,PISP
Pipestone NM,PIPE
Piscataway Park,PISC
Point Reyes NS,PORE
Port Chicago Naval Magazine NMEM,POCH
President W.J. Clinton Birthplace Home NHS,WICL
President's Park,PRPA
Prince William Forest Park,PRWI
Pullman NHP,PULL
Pu'uhonua o Honaunau NHP,PUHO
Pu'ukohola Heiau NHS,PUHE
Rainbow Bridge NM,RABR
Reconstruction Era NHP,REER
Redwood NP,REDW
Richmond NBP,RICH
Rio Grande W&SR,RIGR
River Raisin NBP,RIRA
Rock Creek Park,ROCR
Rocky Mountain NP,ROMO
Roger Williams NMEM,ROWI
Rosie The Riveter WWII Home Front NHP,RORI
Ross Lake NRA,ROLA
Russell Cave NM,RUCA
Sagamore Hill NHS,SAHI
Saguaro NP,SAGU
Saint Croix Island IHS,SACR
Saint Croix NSR,SACN
Saint Paul's Church NHS,SAPA
Saint-Gaudens NHP,SAGA
Salem Maritime NHS,SAMA
Salinas Pueblo Missions NM,SAPU
Salt River Bay NHP & EPRES,SARI
San Antonio Missions NHP,SAAN
San Francisco Maritime NHP,SAFR
San Juan Island NHP,SAJH
San Juan NHS,SAJU
Sand Creek Massacre NHS,SAND
Santa Monica Mountains NRA,SAMO
Saratoga NHP,SARA
Saugus Iron Works NHS,SAIR
Scotts Bluff NM,SCBL
Sequoia NP,SEQU
Shenandoah NP,SHEN
Shiloh NMP,SHIL
Sitka NHP,SITK
Sleeping Bear Dunes NL,SLBE
Springfield 1908 Race Riot NM,SPRA
Springfield Armory NHS,SPAR
Statue of Liberty NM,STLI
Ste. Genevieve NHP,STGE
Steamtown NHS,STEA
Stones River NB,STRI
Stonewall NM,STON
Sunset Crater Volcano NM,SUCR
Tallgrass Prairie NPRES,TAPR
Thaddeus Kosciuszko NMEM,THKO
Theodore Roosevelt Birthplace NHS,THRB
Theodore Roosevelt Inaugural NHS,THRI
Theodore Roosevelt Island,THIS
Theodore Roosevelt NP,THRO
Thomas Edison NHP,EDIS
Thomas Jefferson MEM,JEFM
Thomas Stone NHS,THST
Timpanogos Cave NM,TICA
Timucuan EHP,TIMU
Tonto NM,TONT
Tule Lake NM,TULE
Tule Springs Fossil Beds NM,TUSK
Tumacacori NHP,TUMA
Tupelo NBS,TUPE
Tuskegee Airmen NHS,TUAI
Tuskegee Institute NHS,TUIN
Tuzigoot NM,TUZI
Ulysses S. Grant NHS,ULSG
Upper Delaware S&RR,UPDE
Valles Caldera NPRES,VALL
Valley Forge NHP,VAFO
Vanderbilt Mansion NHS,VAMA
Vicksburg NMP,VICK
Vietnam Veterans MEM,VIVE
Virgin Islands NP,VIIS
Voyageurs NP,VOYA
Waco Mammoth NM,WACO
Walnut Canyon NM,WACA
War in the Pacific NHP,WAPA
Washington Monument,WAMO
Washita Battlefield NHS,WABA
Weir Farm NHP,WEFA
Whiskeytown NRA,WHIS
White House,WHHO
White Sands NP,WHSA
Whitman Mission NHS,WHMI
William Howard Taft NHS,WIHO
Wilson's Creek NB,WICR
Wind Cave NP,WICA
Wolf Trap NP for the Performing Arts,WOTR
Women's Rights NHP,WORI
World War I MEM,WWIM
World War II MEM,WWII
Wrangell-St. Elias NP & PRES,WRST
Wright Brothers NMEM,WRBR
Wupatki NM,WUPA
Yellowstone NP,YELL
Yosemite NP,YOSE
Yukon-Charley Rivers NPRES,YUCH
Zion NP,ZION
